x,y
1.100000,0.223400
1.100100,0.224114
1.100200,0.224828
1.100300,0.225542
1.100400,0.226255
1.100500,0.226969
1.100600,0.227682
1.100700,0.228396
1.100800,0.229109
1.100900,0.229822
1.101000,0.230536
1.101100,0.231249
1.101200,0.231961
1.101300,0.232674
1.101400,0.233387
1.101500,0.234100
1.101600,0.234812
1.101700,0.235525
1.101800,0.236237
1.101900,0.236950
1.102000,0.237662
1.102100,0.238374
1.102200,0.239086
1.102300,0.239798
1.102400,0.240510
1.102500,0.241222
1.102600,0.241933
1.102700,0.242645
1.102800,0.243356
1.102900,0.244068
1.103000,0.244779
1.103100,0.245490
1.103200,0.246201
1.103300,0.246912
1.103400,0.247623
1.103500,0.248334
1.103600,0.249045
1.103700,0.249756
1.103800,0.250466
1.103900,0.251177
1.104000,0.251887
1.104100,0.252598
1.104200,0.253308
1.104300,0.254018
1.104400,0.254728
1.104500,0.255438
1.104600,0.256148
1.104700,0.256858
1.104800,0.257568
1.104900,0.258277
1.105000,0.258987
1.105100,0.259696
1.105200,0.260406
1.105300,0.261115
1.105400,0.261824
1.105500,0.262533
1.105600,0.263242
1.105700,0.263951
1.105800,0.264660
1.105900,0.265369
1.106000,0.266078
1.106100,0.266786
1.106200,0.267495
1.106300,0.268203
1.106400,0.268911
1.106500,0.269620
1.106600,0.270328
1.106700,0.271036
1.106800,0.271744
1.106900,0.272452
1.107000,0.273160
1.107100,0.273867
1.107200,0.274575
1.107300,0.275283
1.107400,0.275990
1.107500,0.276698
1.107600,0.277405
1.107700,0.278112
1.107800,0.278819
1.107900,0.279526
1.108000,0.280233
1.108100,0.280940
1.108200,0.281647
1.108300,0.282354
1.108400,0.283061
1.108500,0.283767
1.108600,0.284474
1.108700,0.285180
1.108800,0.285886
1.108900,0.286593
1.109000,0.287299
1.109100,0.288005
1.109200,0.288711
1.109300,0.289417
1.109400,0.290123
1.109500,0.290829
1.109600,0.291534
1.109700,0.292240
1.109800,0.292945
1.109900,0.293651
1.110000,0.294356
1.110100,0.295061
1.110200,0.295767
1.110300,0.296472
1.110400,0.297177
1.110500,0.297882
1.110600,0.298587
1.110700,0.299291
1.110800,0.299996
1.110900,0.300701
1.111000,0.301405
1.111100,0.302110
1.111200,0.302814
1.111300,0.303519
1.111400,0.304223
1.111500,0.304927
1.111600,0.305631
1.111700,0.306335
1.111800,0.307039
1.111900,0.307743
1.112000,0.308447
1.112100,0.309150
1.112200,0.309854
1.112300,0.310557
1.112400,0.311261
1.112500,0.311964
1.112600,0.312668
1.112700,0.313371
1.112800,0.314074
1.112900,0.314777
1.113000,0.315480
1.113100,0.316183
1.113200,0.316886
1.113300,0.317589
1.113400,0.318291
1.113500,0.318994
1.113600,0.319696
1.113700,0.320399
1.113800,0.321101
1.113900,0.321804
1.114000,0.322506
1.114100,0.323208
1.114200,0.323910
1.114300,0.324612
1.114400,0.325314
1.114500,0.326016
1.114600,0.326718
1.114700,0.327419
1.114800,0.328121
1.114900,0.328822
1.115000,0.329524
1.115100,0.330225
1.115200,0.330927
1.115300,0.331628
1.115400,0.332329
1.115500,0.333030
1.115600,0.333731
1.115700,0.334432
1.115800,0.335133
1.115900,0.335834
1.116000,0.336534
1.116100,0.337235
1.116200,0.337936
1.116300,0.338636
1.116400,0.339337
1.116500,0.340037
1.116600,0.340737
1.116700,0.341438
1.116800,0.342138
1.116900,0.342838
1.117000,0.343538
1.117100,0.344238
1.117200,0.344938
1.117300,0.345637
1.117400,0.346337
1.117500,0.347037
1.117600,0.347736
1.117700,0.348436
1.117800,0.349135
1.117900,0.349835
1.118000,0.350534
1.118100,0.351233
1.118200,0.351932
1.118300,0.352631
1.118400,0.353330
1.118500,0.354029
1.118600,0.354728
1.118700,0.355427
1.118800,0.356126
1.118900,0.356824
1.119000,0.357523
1.119100,0.358221
1.119200,0.358920
1.119300,0.359618
1.119400,0.360316
1.119500,0.361015
1.119600,0.361713
1.119700,0.362411
1.119800,0.363109
1.119900,0.363807
1.120000,0.364505
1.120100,0.365202
1.120200,0.365900
1.120300,0.366598
1.120400,0.367295
1.120500,0.367993
1.120600,0.368690
1.120700,0.369388
1.120800,0.370085
1.120900,0.370782
1.121000,0.371480
1.121100,0.372177
1.121200,0.372874
1.121300,0.373571
1.121400,0.374268
1.121500,0.374965
1.121600,0.375661
1.121700,0.376358
1.121800,0.377055
1.121900,0.377751
1.122000,0.378448
1.122100,0.379144
1.122200,0.379841
1.122300,0.380537
1.122400,0.381233
1.122500,0.381929
1.122600,0.382626
1.122700,0.383322
1.122800,0.384018
1.122900,0.384714
1.123000,0.385409
1.123100,0.386105
1.123200,0.386801
1.123300,0.387497
1.123400,0.388192
1.123500,0.388888
1.123600,0.389583
1.123700,0.390279
1.123800,0.390974
1.123900,0.391669
1.124000,0.392364
1.124100,0.393060
1.124200,0.393755
1.124300,0.394450
1.124400,0.395145
1.124500,0.395839
1.124600,0.396534
1.124700,0.397229
1.124800,0.397924
1.124900,0.398618
1.125000,0.399313
1.125100,0.400007
1.125200,0.400702
1.125300,0.401396
1.125400,0.402091
1.125500,0.402785
1.125600,0.403479
1.125700,0.404173
1.125800,0.404867
1.125900,0.405561
1.126000,0.406255
1.126100,0.406949
1.126200,0.407643
1.126300,0.408336
1.126400,0.409030
1.126500,0.409724
1.126600,0.410417
1.126700,0.411111
